bigram,counts
covid 19,1308407
19 cases,67142
coronavirus cases,66048
19 pandemic,45753
coronavirus pandemic,43486
coronavirus covid19,40139
new cases,36180
covid19 coronavirus,34698
positive covid,28596
tested positive,27142
wear mask,26155
new coronavirus,22488
positive coronavirus,21282
new covid,20300
casos covid,20292
covid19 cases,20255
tests positive,20094
social distancing,19913
nuevos casos,19785
covid19 pandemic,19692
new york,18859
due covid,18227
donald trump,16688
casos coronavirus,16489
death toll,15738
19 patients,15343
united states,15285
jair bolsonaro,15266
coronavirus deaths,15260
public health,15147
death rate,14799
coronavirus covid,14710
19 deaths,14391
via youtube,14338
test positive,13175
bbc news,12759
due coronavirus,12749
news coronavirus,12549
coronavirus outbreak,12276
19 vaccine,12221
gon na,12147
wear masks,12028
positivo covid,11920
19 crisis,11816
wearing mask,11699
stay home,11584
herd immunity,11193
24 horas,11080
spread covid,11068
july 2020,11028
due covid19,10839
cases covid,10810
19 testing,10694
white house,10574
amid coronavirus,10513
19 via,10493
single day,10453
casos confirmados,10450
nick cordero,10396
coronavirus vaccine,10178
spread coronavirus,10071
24 hours,9997
confirmed cases,9978
hong kong,9961
da covid,9737
130 000,9679
pandemi covid,9579
amid covid,9523
coronavirus crisis,9416
many people,9210
casos positivos,9128
corona virus,9074
19 test,9052
wearing masks,8920
coronavirus airborne,8884
19 di,8795
19 death,8723
face masks,8573
long term,8510
positive cases,8481
novel coronavirus,8451
year old,8287
go back,8286
sars cov,8258
live updates,8251
pandemia coronavirus,8230
positivo coronavirus,8189
nursing homes,8184
dio positivo,8150
president trump,8128
active cases,8120
gt gt,8107
07 2020,8105
stay safe,8083
world health,8035
coronavirus via,8008
últimas 24,7928
back school,7838
new normal,7838
pandemia covid,7815
coronavirus lockdown,7715
positive covid19,7686
19 outbreak,7681
protokol kesehatan,7620
cases coronavirus,7598
spread covid19,7543
000 new,7488
coronavirus death,7476
looks like,7404
new deaths,7267
first time,7165
new covid19,7076
fake news,7066
coronavirus live,6981
fight covid,6904
health care,6835
19 response,6835
care homes,6803
dr fauci,6760
second wave,6752
impact covid,6735
boris johnson,6621
contact tracing,6463
people died,6448
york times,6429
pandemia covid19,6416
died covid,6398
face mask,6343
19 virus,6291
coronavirus response,6277
mental health,6262
every day,6229
cover up,6218
19 coronavirus,6212
com covid,6205
total cases,6193
sign petition,6192
10 000,6070
19 positive,6020
19 tests,6009
casos covid19,6005
cases reported,5990
chinese virologist,5989
wash hands,5927
coronavirus update,5862
good news,5858
around world,5834
trump administration,5827
bill gates,5827
young people,5819
make sure,5813
post covid,5807
cases surge,5787
health organization,5776
coronavirus infections,5771
fox news,5761
cases deaths,5748
