term,counts
covid19,1453863
people,266688
new,245174
trump,229710
pandemic,197968
us,186838
via,160863
virus,160685
get,142775
like,135343
news,131517
one,130316
health,127886
positive,112953
world,106869
time,101760
mask,94059
know,91288
would,90578
need,88810
day,87383
death,87072
back,84576
china,81417
go,80424
please,79629
help,79127
still,77557
many,77255
going,77221
da,76865
test,76625
state,76025
see,74901
si,74060
due,73586
today,72076
could,71564
even,71270
spread,69728
take,69155
total,68276
testing,68226
government,68181
good,67760
home,67744
country,67247
na,66845
care,66551
think,64210
may,64168
crisis,63874
corona,63808
di,63716
well,62414
president,62231
work,61700
first,59785
say,59609
right,59261
make,58602
also,58516
die,57921
said,57901
public,57309
pandemia,56757
want,56690
tested,56319
hospital,54880
wear,54174
read,53629
vaccine,53375
live,52011
year,51555
school,51527
way,51314
let,51160
really,50984
million,50148
social,49837
keep,49394
much,49161
risk,48636
rate,48305
number,48075
stop,47548
days,47072
per,45754
data,45750
daily,45418
since,44876
last,44764
face,44736
response,44721
em,44164
safe,44104
got,44009
every,43937
support,43459
stay,42709
open,42604
life,42237
must,41737
another,41662
great,41306
times,41159
look,40306
case,39719
business,39548
never,39289
getting,38964
global,38921
week,38435
real,38223
everyone,38160
family,37470
come,37388
two,37265
county,37142
update,36891
better,36885
latest,36601
long,36041
money,35616
man,35508
outbreak,35172
post,34829
next,34538
economy,34495
eu,34464
dan,34144
record,34071
high,33719
report,33254
yet,33243
around,32968
made,32842
control,32767
amid,32472
without,32428
ca,32322
wearing,32238
confirmed,32120
media,32023
medical,31814
plan,31658
free,31325
ser,31214
surge,30603
impact,30491
hope,30347
use,30071
mil,30062
job,30031
big,29937
thing,29588
presidente,29587
check,29454
fight,29294
put,29292
give,29289
done,29069
thank,29036
thanks,28475
infected,28475
person,28399
video,28298
already,28155
nothing,28136
study,28095
hit,27977
um,27444
end,27320
disease,27260
believe,27182
away,27062
flu,27006
sure,26952
recovery,26917
city,26867
anyone,26522
needs,26498
protect,26470
staff,26452
bad,26400
oh,26396
hoy,26326
god,26105
tell,26034
watch,25947
top,25945
community,25917
best,25802
part,25761
sick,25667
dead,25643
working,25518
article,25201
love,25179
non,25073
find,25014
full,24970
important,24606
rise,24538
taking,24527
mayor,24476
science,24428
someone,24371
dos,24365
national,24359
something,24244
air,23946
show,23938
follow,23805
soon,23789
continue,23785
ever,23777
start,23759
spike,23750
local,23715
old,23672
sa,23671
far,23662
across,23601
story,23589
reopen,23562
mas,23305
population,23271
information,22956
yes,22901
economic,22846
pay,22846
enough,22805
situation,22758
call,22756
close,22737
safety,22714
saying,22674
de,22633
increase,22576
place,22529
pour,22505
change,22499
house,22493
travel,22368
party,22121
white,22084
breaking,22073
less,22034
infection,21997
quarantine,21992
contact,21983
coming,21879
julio,21836
trying,21735
might,21726
normal,21461
lost,21424
research,21417
second,21259
wrong,21235
making,21087
united,20879
evidence,20854
south,20820
hard,20802
market,20786
lot,20629
toll,20499
least,20451
kill,20404
york,20387
fall,20323
likely,20320
everything,20285
maybe,20249
solo,20100
brazil,20079
learn,20077
education,20047
cause,20019
leadership,20011
federal,20003
always,19995
governor,19970
black,19896
actually,19870
doctor,19807
point,19743
dying,19663
future,19583
treatment,19522
transmission,19401
feel,19383
food,19173
stupid,19159
vote,19121
month,19090
immunity,19047
anything,19045
system,19036
save,19002
single,18882
worst,18748
highest,18541
order,18522
thought,18452
early,18426
team,18401
three,18398
looking,18317
possible,18312
sur,18191
join,18169
plus,18039
worse,18001
fake,17991
true,17942
spreading,17826
little,17784
truth,17734
fact,17629
march,17619
share,17589
wave,17515
closed,17495
sir,17494
canada,17435
human,17411
mean,17407
small,17363
police,17254
shut,17226
political,17105
el,17071
according,17017
hoax,16983
used,16956
related,16936
sad,16928
anti,16866
van,16792
wait,16766
link,16754
fear,16716
despite,16711
together,16638
found,16623
la,16577
june,16532
ago,16527
low,16414
become,16400
sign,16390
bien,16379
young,16277
millions,16139
understand,16069
seen,15965
administration,15949
heart,15919
nation,15903
based,15894
almost,15872
told,15868
relief,15843
minister,15782
left,15747
active,15695
killing,15666
talk,15664
among,15657
seriously,15636
past,15608
remember,15584
set,15560
reason,15555
yesterday,15505
wo,15445
problem,15221
matter,15201
listen,15199
given,15197
summer,15161
blame,15160
available,15098
personal,15050
higher,15048
bill,15029
das,15026
visit,14973
office,14908
affected,14907
play,14904
ne,14899
current,14894
serious,14877
cover,14876
whole,14682
claim,14624
following,14583
action,14556
cure,14538
en,14518
hear,14486
yang,14470
sense,14468
else,14452
brain,14331
return,14327
different,14235
instead,14194
wow,14192
ask,14141
self,14088
opening,14074
hey,14006
ai,14004
rest,13938
took,13914
election,13912
tweet,13910
source,13905
age,13891
sports,13866
nursing,13813
rising,13682
prevent,13649
inside,13638
emergency,13600
leader,13579
border,13560
send,13492
handling,13492
act,13352
term,13324
university,13311
group,13303
happen,13302
able,13299
try,13286
san,13204
course,13178
service,13165
went,13144
common,13110
industry,13109
international,13048
blood,13044
billion,13032
season,13026
damn,13010
thread,13010
question,12969
especially,12917
nick,12913
rally,12913
par,12823
run,12773
west,12767
negative,12732
tax,12713
distance,12704
gon,12695
che,12683
church,12655
force,12640
behind,12629
damage,12626
probably,12582
twitter,12555
company,12537
aid,12513
financial,12452
department,12442
mal,12393
lead,12386
hand,12376
idea,12362
policy,12323
child,12244
patient,12243
politics,12241
final,12231
leave,12183
list,12179
deal,12156
hell,12133
talking,12093
war,12078
herd,12056
issue,12055
law,11998
taken,11977
nearly,11969
deadly,11963
failure,11950
ce,11930
hold,11919
though,11917
hate,11914
line,11857
power,11843
poor,11828
major,11803
living,11760
lack,11718
interesting,11700
general,11670
campaign,11668
key,11657
provide,11657
finally,11594
hi,11582
comes,11505
ready,11494
entire,11483
decision,11469
dangerous,11455
sorry,11408
digital,11406
recent,11396
drug,11380
wonder,11314
healthy,11312
guy,11309
result,11284
weekend,11271
guess,11260
move,11255
clear,11236
sector,11212
mental,11154
critical,11151
yeah,11143
director,11139
level,11103
program,11094
half,11086
dice,11035
official,11015
demand,10996
lie,10989
pa,10946
huge,10925
happy,10916
longer,10912
zero,10897
goes,10850
running,10804
chief,10793
name,10792
responsible,10764
capacity,10755
russia,10754
head,10742
fighting,10734
lying,10693
came,10691
thinking,10660
trust,10649
racist,10640
area,10606
harmless,10589
happening,10568
novel,10565
favor,10555
worth,10533
unemployment,10508
advice,10493
expert,10473
morning,10424
release,10411
click,10393
ass,10367
aire,10337
access,10330
late,10328
false,10322
republican,10290
treat,10206
idiot,10206
large,10198
literally,10189
virtual,10183
four,10143
mortality,10133
seeing,10126
prison,10101
history,10094
hong,10078
buy,10046
pass,10035
dari,9981
effects,9979
totally,9920
wake,9910
several,9905
body,9893
biggest,9836
threat,9817
mind,9814
mark,9794
gone,9782
learning,9779
guidance,9775
game,9767
either,9750
forward,9720
security,9707
chance,9676
potential,9643
bring,9639
currently,9630
cost,9616
ways,9614
event,9614
wish,9613
count,9612
within,9513
absolutely,9508
slow,9507
college,9494
reality,9476
actor,9472
vulnerable,9413
kind,9392
