trigram,counts
covid 19 cases,66949
covid 19 pandemic,45672
positive covid 19,27273
casos covid 19,19629
new covid 19,19274
due covid 19,17360
covid 19 patients,15283
covid 19 deaths,14041
new coronavirus cases,13789
covid 19 vaccine,12188
covid 19 crisis,11804
positivo covid 19,11239
coronavirus covid 19,10958
covid 19 testing,10666
covid 19 via,10450
spread covid 19,10379
cases covid 19,10294
amid covid 19,9358
da covid 19,9325
tested positive covid,9242
covid 19 test,9021
pandemi covid 19,9007
covid 19 di,8784
covid 19 death,8645
bbc news coronavirus,8137
tests positive coronavirus,8136
covid 19 outbreak,7664
tests positive covid,7596
pandemia covid 19,7570
últimas 24 horas,7541
tested positive coronavirus,6872
covid 19 response,6814
impact covid 19,6556
fight covid 19,6552
new york times,6418
covid 19 virus,6248
covid 19 coronavirus,6052
covid 19 positive,5982
covid 19 tests,5979
test positive covid,5700
died covid 19,5629
bolsonaro tests positive,5584
world health organization,5518
india mitega india,5429
com covid 19,5324
covid 19 lockdown,5179
nuevos casos coronavirus,5051
sign petition via,4961
covid 19 update,4910
last 24 hours,4897
president jair bolsonaro,4840
contagios covid 19,4798
coronavirus cover up,4724
mitega india mitega,4663
penyebaran covid 19,4659
get covid 19,4630
post covid 19,4588
flees hong kong,4551
covid 19 infections,4532
covid 19 spread,4508
covid 19 em,4503
nuevos casos covid,4499
response covid 19,4457
chinese virologist accuses,4380
virologist accuses beijing,4378
dies covid 19,4370
handling covid 19,4329
beijing coronavirus cover,4320
covid 19 case,4302
coronavirus live updates,4169
get well soon,4119
new covid19 cases,4092
muertes covid 19,4082
cover up flees,4043
accuses beijing coronavirus,3988
tested positive covid19,3976
up flees hong,3958
know treat whistleblowers,3954
amid coronavirus pandemic,3949
hong kong know,3932
covid 19 amp,3893
kong know treat,3852
covid 19 impact,3850
new cases covid,3809
covid 19 relief,3757
covid 19 situation,3757
positivos covid 19,3756
pacientes covid 19,3699
positif covid 19,3698
us covid 19,3688
exclusive chinese virologist,3666
number covid 19,3599
du covid 19,3501
tested covid 19,3494
covid19 sign petition,3413
claim coronavirus airborne,3254
covid 19 surge,3225
test positive coronavirus,3185
new cases coronavirus,3183
vacuna covid 19,3183
big claim coronavirus,3178
confirmed covid 19,3169
covid 19 infection,3167
scream inside heart,3123
jair bolsonaro tests,3122
black lives matter,3098
covid 19 related,3095
nick cordero dies,3040
masa pandemi covid,3036
coronavirus death toll,3035
test covid 19,2996
virus covid 19,2949
covid 19 may,2947
di masa pandemi,2934
gt gt gt,2926
penanganan covid 19,2922
000 covid 19,2916
covid 19 través,2887
000 new cases,2876
coronavirus covid19 sarscov2,2875
19 death toll,2852
prueba covid 19,2846
covid 19 dengan,2834
coronavirus cases surge,2821
covid 19 complications,2809
president donald trump,2803
covid 19 numbers,2752
hidup bersih dan,2734
population coronavirus covid19,2734
covid19 sarscov2 forecast,2733
die covid 19,2727
covid 19 treatment,2678
death population coronavirus,2678
new death population,2665
total covid 19,2645
actor nick cordero,2637
dio positivo covid,2589
patuhi protokol kesehatan,2585
highest single day,2582
deaths covid 19,2576
due coronavirus pandemic,2535
million covid 19,2530
covid 19 restrictions,2504
case covid 19,2502
covid 19 covid19,2497
casos positivos covid,2474
infected covid 19,2474
petition via change,2471
brazilian president jair,2463
coronavirus task force,2438
cases totally harmless,2417
like covid 19,2391
covid 19 symptoms,2381
covid 19 patient,2379
covid 19 recovery,2365
dr anthony fauci,2350
covid 19 new,2349
mortes covid 19,2346
covid 19 data,2342
contagio covid 19,2330
coronavirus death rate,2324
dio positivo coronavirus,2309
covid 19 hoax,2300
petition via ukchange,2293
please scream inside,2274
090 2121 hello,2263
uk fantasticradiouk homeofpossibilities,2263
homeofpossibilities believeyourpossibilities stayhomesafelives,2263
co uk fantasticradiouk,2263
2121 hello fantasticradio,2263
hello fantasticradio co,2263
0208 090 2121,2263
fantasticradio co uk,2263
